,B,C,D,E
std,177986.2218302286,85049.93404259883,72648.9649572086,2487.7328438670647
min,1133336.0332187822,402958.1550519562,198964.323306796,1841.214175233179
25%,1427829.505154844,525949.1225373722,318235.77345860587,4306.879531313976
50%,1545655.8992212932,565402.246475942,363953.40470425144,5639.811716982851
75%,1678699.544245842,603943.8556020657,424661.0753790522,7478.627106151982
max,2239210.680537646,1747585.4261269767,588523.2577719493,14505.852858613014
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,30897.47488861563,31149.068289025538,6755.049362165671
std,0.0,9093.778172817552,39264.73979913333,3101.7939427011293
min,0.0,7075.829434744396,0.0,1862.2440741968371
25%,0.0,24288.067822935267,0.0,4663.513558145003
50%,0.0,30444.424773828847,3466.30488788628,6181.193601268927
75%,0.0,36506.564633416245,52427.281250004584,8047.591623728655
max,0.0,64373.161588119445,226411.34810254385,25240.812266548448
count,0.0,0.0,0.0,0.0
mean,,,,
std,,,,
min,,,,
25%,,,,
50%,,,,
75%,,,,
max,,,,
count,2.0,2.0,2.0,2.0
mean,2174238.9527220493,554861.456368327,386819.165007147,7597.234924953904
std,341594.4124788074,54195.52666725721,72072.49426480022,2485.8008548229154
min,1932695.2272428502,516539.4319519331,335856.2155754782,5839.508283829304
25%,2053467.08998245,535700.4441601301,361337.69029131264,6718.371604391604
50%,2174238.9527220493,554861.456368327,386819.165007147,7597.234924953904
75%,2295010.815461649,574022.4685765239,412300.6397229814,8476.098245516205
max,2415782.678201249,593183.480784721,437782.1144388158,9354.961566078504
count,823.0,823.0,823.0,823.0
mean,868256.291415386,508678.69598925475,359276.2665293699,7751.327811349541
std,147195.7075630828,76307.51120962398,68278.7116545336,3450.5651898124956
min,441722.87513534154,333556.7281191849,178940.63497536036,2002.4439658565532
25%,764013.8641061538,461687.1743916471,313669.90519545274,5361.711931053216
50%,861555.7875762699,507470.21150596975,354573.376214979,7050.3333872696385
75%,972337.6577378134,547620.4289265436,402870.1865012996,9337.174601249499
max,1937363.7263986596,1395614.2836576533,659887.3312834946,29894.801423241955
count,766.0,766.0,766.0,766.0
mean,988046.8908284934,571781.182017151,392701.35989633226,6067.895790696519
std,192214.857855165,69618.6908586373,78374.88164771535,2833.5855409582437
min,559646.6659610425,391041.2924848688,169104.95954302023,1599.3928800618312
25%,873092.7129766725,527165.9141851264,336360.50617093575,4128.900420885469
50%,966722.9514748689,567509.5930613421,387312.72972769546,5491.63129636092
75%,1085505.119094261,610336.0639151814,435440.6792139824,7312.000906819893
max,3516078.793270596,946860.7924419374,683454.5514155816,26600.415544958953
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,36149.04584445347,57006.311962814456,7250.900605310941
std,0.0,12072.181637162097,47940.307559131244,3608.055318833903
min,0.0,11344.17209137293,0.0,2049.3392517904413
25%,0.0,29380.91211089144,6970.627185441994,5019.963301572662
50%,0.0,34997.204682687574,51467.428744528195,6505.734902707871
75%,0.0,41758.011193676306,88649.76303042282,8720.279160688902
max,0.0,254523.85286958126,288774.18821486225,57903.3182291212
count,1000.0,1000.0,1000.0,1000.0
